city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,openalex_match_km,openalex_geo_city,openalex_ai_works_recent,openalex_ai_institution_count,openalex_lat,openalex_lon,openalex_match_ok,log_ai_works,ai_works_per_million,log_ai_works_per_million
Plzeň,Plzen,49.7414,13.3825,Czechia,CZ,CZE,Plzeňský Kraj,admin,175219.0,1203402469,92,338.91540242625393,84.4122459081218,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,0.7615991837412699,Pilsen,74,1,49.74747,13.37759,True,4.31748811353631,422.3286287445996,6.048148777521042
Zlín,Zlin,49.2331,17.6669,Czechia,CZ,CZE,Zlínský Kraj,admin,74478.0,1203582141,87,407.88171621064055,81.55106006031401,gcp,europe-central2,"Warsaw, Poland, Europe",52.2319581,21.0067249,0.7878075228750642,Zlín,9,1,49.2264518737793,17.670650482177734,True,2.302585092994046,120.84105373398856,4.802717357055652
Prague,Prague,50.0833,14.4167,Czechia,CZ,CZE,"Praha, Hlavní Město",primary,1335084.0,1203744823,48,408.9600634871976,81.50710173020713,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,6.67577081076452,Prosek,0,1,50.11692810058594,14.494235038757324,True,0.0,0.0,0.0
Leipzig,Leipzig,51.3333,12.3833,Germany,DE,DEU,Saxony,minor,593197.0,1276563678,48,293.82136087560156,86.33710899002068,azure,germanywestcentral,"Frankfurt, Germany West Central, Europe",50.110924,8.682127,0.14299289217158875,Leipzig,374,4,51.33388266113281,12.381465144882204,True,5.926926025970411,630.4819478183471,6.448069355187728
Saarbrücken,Saarbrucken,49.2333,7.0,Germany,DE,DEU,Saarland,admin,180741.0,1276419711,92,155.45796607702212,92.52151415643834,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,2.40651102632746,Saarbrücken,318,2,49.2451990838623,7.027688034210206,True,5.765191102784844,1759.4237057446844,7.473309800958905
Stuttgart,Stuttgart,48.7761,9.1775,Germany,DE,DEU,Baden-Württemberg,admin,634830.0,1276171358,92,152.6551725357814,92.6512644021429,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,0.6923175147345335,Stuttgart,309,1,48.782318115234375,9.177020072937012,True,5.736572297479192,486.74448277491615,6.189791667855269
Potsdam,Potsdam,52.4,13.0667,Germany,DE,DEU,Brandenburg,admin,182219.0,1276395100,70,296.396798057581,86.22600264189019,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,0.14502410120031342,Potsdam,247,2,52.39886046569824,13.065660238342286,True,5.5134287461649825,1355.5117742935697,7.212671811968113
Berlin,Berlin,52.5167,13.3833,Germany,DE,DEU,Berlin,primary,3644826.0,1276451290,70,313.8417953782674,85.47716705579316,azure,germanynorth,"Berlin, Germany North, Europe",53.073635,8.806422,1.6872113024714899,Berlin,230,3,52.52892614908854,13.39806935160319,True,5.442417710521793,63.10314950562798,4.160493496972743
Kaiserslautern,Kaiserslautern,49.4447,7.7689,Germany,DE,DEU,Rhineland-Palatinate,minor,100030.0,1276674534,92,98.90747578447271,95.17491870414743,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,0.27217890490182334,Kaiserslautern,216,1,49.44300079345703,7.771609783172607,True,5.37989735354046,2159.3521943416977,7.678026540322497
Mannheim,Mannheim,49.4878,8.4661,Germany,DE,DEU,Baden-Württemberg,minor,309370.0,1276150104,92,70.97094154922955,96.51367568175989,gcp,europe-west3,"Frankfurt, Germany Europe",50.1106444,8.6820917,0.18078040926189956,Mannheim,138,2,49.48651313781738,8.46457052230835,True,4.9344739331306915,446.06781523741796,6.102710295047008
