geo_city,geo_country_code,ai_works_recent,ai_institution_count,lat,lon
Marseille,FR,76,1,43.29695129394531,5.381070137023926
Changsha,CN,76,1,28.255634307861328,113.08287048339844
Chapel Hill,US,74,1,35.90378189086914,-79.04779815673828
Pilsen,CZ,74,1,49.74747,13.37759
Villeneuve-d'Ascq,FR,73,2,50.61669079467774,3.1666400216293336
Fontainebleau,FR,73,1,48.40908,2.70177
Iasi,RO,72,2,47.16667175292969,27.600000381469727
Dhaka,BD,70,2,23.710399627685547,90.40744018554688
Kayseri,TR,69,2,38.734928131103516,35.479373931884766
Pisa,IT,68,1,43.70853,10.4036
Thessaloniki,GR,67,2,40.650373458862305,22.86752986907959
Zhangjiajie,CN,64,1,29.129440307617188,110.47833251953125
Anking,CN,63,1,30.51416778564453,117.04805755615234
Jingdezhen,CN,63,1,29.294700622558594,117.20789337158203
Manno,CH,63,1,46.02885,8.91824
Bristol,US,62,1,36.58729553222656,-82.15910339355469
Nijmegen,NL,62,1,51.8425,5.85278
Komotini,GR,60,1,41.119171142578125,25.405349731445312
Msida,MT,60,1,35.8925,14.48278
Passau,DE,60,1,48.56650161743164,13.431220054626465
Pathum Thani,TH,59,1,14.013460159301758,100.53048706054688
Fukushima,JP,59,1,37.52367401123047,139.93807983398438
Ratanpur,IN,59,1,22.1040096282959,82.12035369873047
Lafayette,US,58,1,30.224090576171875,-92.01983642578125
Talence,FR,56,1,44.80849,-0.58915
Khulna,BD,56,1,22.809789657592773,89.56439208984375
Windsor,CA,54,1,42.300079345703125,-83.01654052734375
Boca Raton,US,54,1,26.35869026184082,-80.08309936523438
Częstochowa,PL,54,1,50.79646,19.12409
Patiāla,IN,53,1,30.359724044799805,76.45423126220703
Birmingham,GB,53,1,52.48141860961914,-1.8998299837112427
Manouba,TN,53,1,36.81006,10.09557
Innopolis,RU,53,1,55.749820709228516,48.74753952026367
Montpellier,FR,53,1,43.61093,3.87635
Weimar,DE,52,1,50.98030090332031,11.32903003692627
Dharwad,IN,51,1,15.460049629211426,75.00778198242188
Huangshi,CN,50,1,30.247060775756836,115.04814147949219
Tokushima,JP,50,1,34.06999969482422,134.55999755859375
Aix-en-Provence,FR,49,1,43.5283,5.44973
Caen,FR,49,1,49.18585,-0.35912
Puebla City,MX,49,1,19.03792953491211,-98.20346069335938
Tashkent,UZ,49,1,41.2646484375,69.21627044677734
Winterthur,CH,48,1,47.50564,8.72413
Glasgow,GB,48,1,55.86217498779297,-4.243517875671387
Thousand Oaks,US,48,1,34.148231506347656,-118.76197052001953
Urgench,UZ,47,1,41.557220458984375,60.60785675048828
Saint-Étienne-du-Rouvray,FR,46,1,49.3779411315918,1.1046700477600098
Nanning,CN,46,2,22.816669732055665,108.31667163940429
Atherton,US,45,1,37.46133,-122.19774
Kharkiv,UA,45,1,49.98177,36.25475
Champs-sur-Marne,FR,45,1,48.85,2.6
Valbonne,FR,43,1,43.63292,6.99911
Kyoto,JP,42,2,35.02602577209473,135.76653289794922
Halmstad,SE,41,1,56.674461364746094,12.856760025024414
Corfu,GR,41,1,39.62440872192383,19.9201602935791
Greensboro,US,40,1,36.07263946533203,-79.79197692871094
Lugano,CH,40,1,46.01007843017578,8.960040092468262
Jinzhou,CN,40,1,41.145774841308594,121.12657165527344
Marousi,GR,39,1,38.05,23.8
Nitra,SK,38,1,48.3076286315918,18.084529876708984
Princeton,US,38,1,40.34456253051758,-74.712890625
Bratislava,SK,38,1,48.14815902709961,17.106740951538086
Belgrade,RS,38,1,44.782405853271484,20.478973388671875
