city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,nearest_region_idx,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,nearest_lat,nearest_lon,ai_inst_count,ai_works_recent,geo_city,geo_country_code,top_inst_count,top_inst_ai_works,regions_within_1000,regions_within_1500,providers_within_1000,score_proximity,score_provider_diversity,score_redundancy,score_population,score_institutions,bundle_score,distance_only_score,bundle_gain_vs_distance
Framingham,Framingham,42.3085,-71.4368,United States,US,USA,Massachusetts,,74416.0,1840003131,11,394.1590852155522,82.11253162659816,aws,ca-central-1,Canada (Central),45.5031824,-73.5698065,0.0,0.0,,,0.0,0.0,11,14,3,0.9355958528370071,1.0,0.7962049529094938,0.050916547961697804,0.0,65.13065662654816,93.55958528370071,-28.428928657152554
Pencheng,Pencheng,29.6792,115.6611,China,CN,CHN,Jiangxi,,419047.0,1156147187,76,788.9755934583258,67.40251887542755,gcp,asia-east1,"Changhua County, Taiwan, APAC",24.0755667,120.5444667,0.0,0.0,,,0.0,0.0,4,10,3,0.8710842851654387,1.0,0.705015029626574,0.3139940717156284,0.0,65.12850792675059,87.10842851654387,-21.97992058979328
Chilakalūrupet,Chilakalurupet,16.0892,80.1672,India,IN,IND,Andhra Pradesh,,101398.0,1356065865,6,229.1154921856611,89.17604412500364,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,7,9,3,0.9625633698942209,1.0,0.6769924925288455,0.09800939270376587,0.0,65.12756307425802,96.25633698942208,-31.12877391516406
Everett,Everett,47.9525,-122.1669,United States,US,USA,Washington,,111475.0,1840019785,32,191.13167614908983,90.88585221887006,azure,westus2,"Washington, West US 2, US",47.233,-119.852,0.0,0.0,,,0.0,0.0,3,8,3,0.9687697859571505,1.0,0.646015014942309,0.1124313981072638,0.0,65.1274876340296,96.87697859571504,-31.74949096168544
Woodland,Woodland,38.6712,-121.75,United States,US,USA,California,,60598.0,1840021485,53,114.66732674335242,94.42789455000428,azure,westus,"California, West US, US",37.783,-122.417,0.0,0.0,,,0.0,0.0,8,10,3,0.9812637798711978,1.0,0.705015029626574,0.019650174257210485,0.0,65.12052925310469,98.12637798711978,-33.00584873401509
Smyrna,Smyrna,33.8633,-84.5168,United States,US,USA,Georgia,,56666.0,1840015634,103,424.13086545519377,80.89117665315383,gcp,us-east1,"Moncks Corner, South Carolina, North America",33.1973235,-80.01094796275407,0.0,0.0,,,0.0,0.0,9,17,3,0.9306985740029161,1.0,0.8498100620328151,0.009438461720451274,0.0,65.11667081641565,93.06985740029161,-27.95318658387596
Sparks,Sparks,39.5729,-119.7157,United States,US,USA,Nevada,,105006.0,1840021337,53,307.5405938291105,85.74689616578203,azure,westus,"California, West US, US",37.783,-122.417,0.0,0.0,,,0.0,0.0,10,10,3,0.9497489962644586,1.0,0.705015029626574,0.10333148981759221,0.0,65.11515764224085,94.97489962644586,-29.859741984205016
Campos,Campos,-21.7523,-41.3304,Brazil,BR,BRA,Rio de Janeiro,,387417.0,1076606365,75,231.6059966460454,89.06506656904243,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",-22.90278,-43.2075,0.0,0.0,,,0.0,0.0,4,4,3,0.9621564306105839,1.0,0.4731974454383393,0.3020478572715756,0.0,65.11493676507209,96.21564306105839,-31.1007062959863
Manpo,Manpo,41.157,126.29,"Korea, North",KP,PRK,Chagang,,116760.0,1408334845,3,403.5832105959249,81.72652239400571,aws,ap-northeast-2,Asia Pacific (Seoul),37.5666791,126.9782914,0.0,0.0,,,0.0,0.0,5,11,3,0.9340559853554593,1.0,0.7305976016521668,0.11948207682067065,0.0,65.11343459131093,93.40559853554593,-28.292163944235
Emmiganūr,Emmiganur,15.7333,77.4833,India,IN,IND,Andhra Pradesh,,95149.0,1356089591,6,209.50697085152487,90.0546493060981,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,7,9,3,0.9657673302772773,1.0,0.6769924925288455,0.08832705050528027,0.0,65.11048635660299,96.57673302772774,-31.46624667112475
Pocatello,Pocatello,42.8724,-112.4646,United States,US,USA,Idaho,,72878.0,1840013376,109,239.75914115543185,88.7027254464834,gcp,us-west3,"Salt Lake City, Utah, North America",40.7596198,-111.8867975,0.0,0.0,,,0.0,0.0,6,11,3,0.9608242367362843,1.0,0.7305976016521668,0.04773765788603453,0.0,65.1079983625244,96.08242367362843,-30.974425311104028
Vishākhapatnam,Vishakhapatnam,17.7333,83.3167,India,IN,IND,Andhra Pradesh,,2035922.0,1356692563,6,515.0773001228735,77.295175110348,aws,ap-south-2,Asia Pacific (Hyderabad),17.360589,78.4740613,0.0,0.0,,,0.0,0.0,4,9,2,0.9158382605356176,0.6666666666666666,0.6769924925288455,0.5546070483151808,0.0,65.1075235340851,91.58382605356175,-26.476302519476647
