city_id,city,city_ascii,country,iso2,iso3,admin_name,population,dist_km_nearest_region,access_score,nearest_provider,nearest_region,nearest_location_name,observed_ai_works_recent,priority_rank,priority_rule,priority_distance_threshold_km
1417269527,Karakol,Karakol,Kyrgyzstan,KG,KGZ,Ysyk-Köl,63377.0,1543.3945600104541,46.22278720256992,gcp,asia-south2,"Delhi, India APAC",0.0,1690,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1404890081,Kitale,Kitale,Kenya,KE,KEN,Trans Nzoia,63245.0,3062.2535457032272,21.629181821174424,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1691,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1840023463,Fairbanks,Fairbanks,United States,US,USA,Alaska,63245.0,2568.145046942352,27.69072895809469,azure,westus2,"Washington, West US 2, US",0.0,1692,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643549691,Gorno-Altaysk,Gorno-Altaysk,Russia,RU,RUS,Altay,63214.0,2256.5675260708977,32.3588134052256,aws,cn-northwest-1,China (Ningxia),0.0,1693,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1643293120,Volsk,Volsk,Russia,RU,RUS,Saratovskaya Oblast’,63212.0,1554.257774935273,45.972403774490154,gcp,europe-north1,"Hamina, Finland, Europe",0.0,1694,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1222304332,San Marcos,San Marcos,El Salvador,SV,SLV,San Salvador,63209.0,1997.860716314968,36.82731509414046,azure,southcentralus,"Texas, South Central US, US",0.0,1695,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1170627964,Puerto Asís,Puerto Asis,Colombia,CO,COL,Putumayo,63067.0,3654.2070195006277,16.087887766761842,gcp,us-east1,"Moncks Corner, South Carolina, North America",0.0,1696,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076517048,Igarapé-Miri,Igarape-Miri,Brazil,BR,BRA,Pará,63036.0,2408.40228086794,29.99315069876013,azure,brazilsoutheast,"Rio, Brazil Southeast, South America",0.0,1697,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608798193,Lutayan,Lutayan,Philippines,PH,PHL,Maguindanao,63029.0,1996.7838124790037,36.84715017222571,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1698,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608158776,Tangub,Tangub,Philippines,PH,PHL,Misamis Occidental,63011.0,1812.494561167315,40.40376224083615,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1699,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1180000473,Kasongo,Kasongo,Congo (Kinshasa),CD,COD,Maniema,63000.0,2372.2044275919848,30.540936749511356,azure,southafricanorth,"Johannesburg, South Africa North, Africa",0.0,1700,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1076977846,Portel,Portel,Brazil,BR,BRA,Pará,62945.0,2440.345432845429,29.517918022895223,gcp,southamerica-east1,"Osasco, São Paulo, Brazil, South America",0.0,1701,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1706018197,Beledweyne,Beledweyne,Somalia,SO,SOM,Hiiraan,62945.0,2340.0626577500343,31.035721797068334,aws,me-central-1,Middle East (United Arab Emirates) - ???,0.0,1702,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608260082,Saravia,Saravia,Philippines,PH,PHL,Negros Occidental,62921.0,1489.113715743899,47.49447213276937,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1703,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1604248295,Yurimaguas,Yurimaguas,Peru,PE,PER,Loreto,62903.0,3113.0573400727653,21.086679039109924,gcp,southamerica-west1,"Santiago, Chile, South America",0.0,1704,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1591234164,Balboa Heights,Balboa Heights,Panama,PA,PAN,Panamá,62882.0,2696.5685152159335,25.968543194122805,gcp,us-east1,"Moncks Corner, South Carolina, North America",0.0,1705,zero_observed_ai_and_distance_gte_q75,1251.605776472141
1608715438,Kapatagan,Kapatagan,Philippines,PH,PHL,Lanao del Norte,62853.0,1831.0567304738154,40.030506292502174,gcp,asia-east1,"Changhua County, Taiwan, APAC",0.0,1706,zero_observed_ai_and_distance_gte_q75,1251.605776472141
